reference_image,test_image,ref_position
img/i08.bmp,img/c30/i08_8_11zon.bmp,0
img/i04.bmp,img/c30/i04_4_11zon.bmp,0
img/i02.bmp,img/c10/i02_2_11zon.bmp,0
img/i05.bmp,img/c70/i05_5_11zon.bmp,0
img/i05.bmp,img/c40/i05_5_11zon.bmp,0
img/i05.bmp,img/c20/i05_5_11zon.bmp,0
img/i01.bmp,img/c50/i01_1_11zon.bmp,0
img/i02.bmp,img/c100/i02_2_11zon.bmp,0
img/i01.bmp,img/c30/i01_1_11zon.bmp,0
img/i01.bmp,img/c60/i01_1_11zon.bmp,0
img/i09.bmp,img/c100/i09_9_11zon.bmp,0
img/i05.bmp,img/c90/i05_5_11zon.bmp,0
img/i07.bmp,img/c40/i07_7_11zon.bmp,0
img/i09.bmp,img/c20/i09_9_11zon.bmp,0
img/i03.bmp,img/c40/i03_3_11zon.bmp,0
img/i03.bmp,img/c90/i03_3_11zon.bmp,0
img/i02.bmp,img/c70/i02_2_11zon.bmp,0
img/i09.bmp,img/c10/i09_9_11zon.bmp,0
img/i01.bmp,img/c90/i01_1_11zon.bmp,0
img/i02.bmp,img/c80/i02_2_11zon.bmp,0
img/i06.bmp,img/c40/i06_6_11zon.bmp,0
img/i02.bmp,img/c90/i02_2_11zon.bmp,0
img/i07.bmp,img/c80/i07_7_11zon.bmp,0
img/i05.bmp,img/c50/i05_5_11zon.bmp,0
img/i04.bmp,img/c20/i04_4_11zon.bmp,0
img/i06.bmp,img/c80/i06_6_11zon.bmp,0
img/i05.bmp,img/c30/i05_5_11zon.bmp,0
img/i05.bmp,img/c80/i05_5_11zon.bmp,0
img/i04.bmp,img/c90/i04_4_11zon.bmp,0
img/i10.bmp,img/c10/i10_10_11zon.bmp,0
img/i03.bmp,img/c10/i03_3_11zon.bmp,0
img/i08.bmp,img/c10/i08_8_11zon.bmp,0
img/i04.bmp,img/c10/i04_4_11zon.bmp,0
img/i04.bmp,img/c80/i04_4_11zon.bmp,0
img/i07.bmp,img/c70/i07_7_11zon.bmp,0
img/i04.bmp,img/c100/i04_4_11zon.bmp,0
img/i08.bmp,img/c70/i08_8_11zon.bmp,0
img/i07.bmp,img/c50/i07_7_11zon.bmp,0
img/i03.bmp,img/c20/i03_3_11zon.bmp,0
img/i09.bmp,img/c40/i09_9_11zon.bmp,0
img/i04.bmp,img/c70/i04_4_11zon.bmp,0
img/i10.bmp,img/c80/i10_10_11zon.bmp,0
img/i08.bmp,img/c100/i08_8_11zon.bmp,0
img/i06.bmp,img/c100/i06_6_11zon.bmp,0
img/i09.bmp,img/c30/i09_9_11zon.bmp,0
img/i10.bmp,img/c50/i10_10_11zon.bmp,0
img/i05.bmp,img/c10/i05_5_11zon.bmp,0
img/i08.bmp,img/c20/i08_8_11zon.bmp,0
img/i01.bmp,img/c80/i01_1_11zon.bmp,0
img/i09.bmp,img/c80/i09_9_11zon.bmp,0
img/i05.bmp,img/c100/i05_5_11zon.bmp,0
img/i02.bmp,img/c50/i02_2_11zon.bmp,0
img/i01.bmp,img/c20/i01_1_11zon.bmp,0
img/i02.bmp,img/c60/i02_2_11zon.bmp,0
img/i09.bmp,img/c70/i09_9_11zon.bmp,0
img/i06.bmp,img/c10/i06_6_11zon.bmp,0
img/i08.bmp,img/c60/i08_8_11zon.bmp,0
img/i03.bmp,img/c30/i03_3_11zon.bmp,0
img/i09.bmp,img/c60/i09_9_11zon.bmp,0
img/i01.bmp,img/c40/i01_1_11zon.bmp,0
img/i10.bmp,img/c70/i10_10_11zon.bmp,0
img/i07.bmp,img/c100/i07_7_11zon.bmp,0
img/i08.bmp,img/c80/i08_8_11zon.bmp,0
img/i06.bmp,img/c60/i06_6_11zon.bmp,0
img/i04.bmp,img/c60/i04_4_11zon.bmp,0
img/i02.bmp,img/c40/i02_2_11zon.bmp,0
img/i01.bmp,img/c100/i01_1_11zon.bmp,0
img/i10.bmp,img/c20/i10_10_11zon.bmp,0
img/i07.bmp,img/c60/i07_7_11zon.bmp,0
img/i10.bmp,img/c40/i10_10_11zon.bmp,0
img/i08.bmp,img/c40/i08_8_11zon.bmp,0
img/i04.bmp,img/c50/i04_4_11zon.bmp,0
img/i07.bmp,img/c30/i07_7_11zon.bmp,0
img/i03.bmp,img/c100/i03_3_11zon.bmp,0
img/i02.bmp,img/c20/i02_2_11zon.bmp,0
img/i09.bmp,img/c50/i09_9_11zon.bmp,0
img/i10.bmp,img/c30/i10_10_11zon.bmp,0
img/i03.bmp,img/c80/i03_3_11zon.bmp,0
img/i06.bmp,img/c20/i06_6_11zon.bmp,0
img/i03.bmp,img/c50/i03_3_11zon.bmp,0
img/i01.bmp,img/c10/i01_1_11zon.bmp,0
img/i10.bmp,img/c90/i10_10_11zon.bmp,0
img/i05.bmp,img/c60/i05_5_11zon.bmp,0
img/i10.bmp,img/c100/i10_10_11zon.bmp,0
img/i09.bmp,img/c90/i09_9_11zon.bmp,0
img/i06.bmp,img/c50/i06_6_11zon.bmp,0
img/i06.bmp,img/c30/i06_6_11zon.bmp,0
img/i07.bmp,img/c90/i07_7_11zon.bmp,0
img/i08.bmp,img/c50/i08_8_11zon.bmp,0
img/i03.bmp,img/c70/i03_3_11zon.bmp,0
img/i04.bmp,img/c40/i04_4_11zon.bmp,0
img/i08.bmp,img/c90/i08_8_11zon.bmp,0
img/i06.bmp,img/c70/i06_6_11zon.bmp,0
img/i06.bmp,img/c90/i06_6_11zon.bmp,0
img/i07.bmp,img/c20/i07_7_11zon.bmp,0
img/i03.bmp,img/c60/i03_3_11zon.bmp,0
img/i01.bmp,img/c70/i01_1_11zon.bmp,0
img/i10.bmp,img/c60/i10_10_11zon.bmp,0
img/i02.bmp,img/c30/i02_2_11zon.bmp,0
img/i07.bmp,img/c10/i07_7_11zon.bmp,0
