reference_image,test_image,img_size,response,resptime
08,30,26804,6,17.39316
04,30,46006,6,9.089288
02,10,47183,6,3.811926
05,70,18298,5,4.462188
05,40,30226,5,7.276009
05,20,45730,6,2.846018
01,50,30418,5,8.066345
02,100,1878,0,2.817881
01,30,42040,6,10.782978
01,60,26071,5,2.4532
09,100,2511,0,7.983945
05,90,7623,1,7.48757
07,40,19798,5,5.867242
09,20,43540,6,16.02207
03,40,42141,5,7.286256
03,90,12381,2,9.847714
02,70,10528,4,5.04439
09,10,64889,6,31.16211
01,90,8821,1,6.15691
02,80,7533,3,40.631911
06,40,43737,5,4.661038
02,90,4151,1,6.602048
07,80,8245,3,3.893013
05,50,26175,6,10.379639
04,20,57167,6,10.870352
06,80,19411,2,6.750698
05,30,36281,6,8.291642
05,80,13466,4,8.058923
04,90,11258,2,7.940541
10,10,43294,6,8.220162
03,10,85126,6,3.700334
08,10,51322,6,6.298093
04,10,81772,6,9.333544
04,80,18731,5,9.702018
07,70,11592,5,5.523608
04,100,4048,0,5.175393
08,70,13727,4,11.928279
07,50,17001,5,3.672278
03,20,61290,6,4.464772
09,40,28271,6,16.144662
04,70,24746,5,6.264058
10,80,8359,3,8.414145
08,100,2180,0,4.370466
06,100,2903,0,3.651127
09,30,34009,5,10.69119
10,50,15545,5,8.191158
05,10,67123,6,6.181402
08,20,34101,6,4.610986
01,80,15978,3,10.528288
09,80,13392,2,6.625261
05,100,2453,0,2.218437
02,50,15773,5,4.975264
01,20,53424,5,6.011091
02,60,13203,5,4.45888
09,70,17639,4,13.670686
06,10,95297,6,16.645896
08,60,16605,4,7.844267
03,30,49608,6,7.428484
09,60,21225,5,11.780372
01,40,34958,5,9.176362
10,70,11088,4,8.178399
07,100,1757,0,1.542765
08,80,10202,3,5.212473
06,60,32304,3,6.379806
04,60,29570,5,10.974816
02,40,18581,5,17.556418
01,100,2453,0,1.657103
10,20,27742,6,6.578074
07,60,14371,5,5.286818
10,40,17868,6,5.630336
08,40,22279,6,7.801446
04,50,34081,5,5.036435
07,30,24330,6,3.127091
03,100,3673,0,2.155438
02,20,30292,6,5.70886
09,50,24634,5,4.171
10,30,21541,6,3.123921
03,80,20670,3,8.275489
06,20,66681,5,8.577787
03,50,37120,5,5.050414
01,10,78200,6,5.660913
10,90,5113,2,3.973691
05,60,22344,3,14.225904
10,100,2234,0,10.138783
09,90,7945,1,8.723578
06,50,37689,5,13.600523
06,30,52569,6,7.56952
07,90,4373,1,8.00193
08,50,19384,5,5.383859
03,70,27207,2,5.186284
04,40,38864,6,7.671866
08,90,6055,1,6.17665
06,70,26423,5,15.177159
06,90,10657,2,14.870867
07,20,31227,6,5.470975
03,60,32321,4,9.275698
01,70,21606,5,3.510257
10,60,13338,5,4.211588
02,30,23063,6,12.631698
07,10,48214,6,2.671956
